City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Airai,-8.93,125.41,57.36,100,98,4.43,TL,1592332284
Tasiilaq,65.61,-37.64,35.6,92,75,18.34,GL,1592332284
Bredasdorp,-34.53,20.04,53.6,93,0,3.51,ZA,1592332284
Westport,41.14,-73.36,73.0,49,1,12.75,US,1592332284
Mossamedes,-15.2,12.15,72.48,62,0,3.56,AO,1592332285
Chui,-33.7,-53.46,66.38,79,64,7.7,UY,1592332285
Porto,41.15,-8.61,66.99,68,20,6.93,PT,1592332051
Talnakh,69.49,88.4,41.0,86,75,6.71,RU,1592332285
Cururupu,-1.83,-44.87,85.73,62,2,6.64,BR,1592332285
Domoni,-12.26,44.53,75.52,78,100,10.54,KM,1592332285
Lebu,-37.62,-73.65,53.24,89,100,15.68,CL,1592332286
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332286
Nikolskoye,59.7,30.79,69.8,77,100,3.69,RU,1592332286
Carnarvon,-24.87,113.63,57.2,35,0,10.29,AU,1592332247
Skerries,53.58,-6.11,68.0,72,40,4.7,IE,1592332286
St. George's,12.06,-61.75,86.0,66,20,17.22,GD,1592332287
Lompoc,34.64,-120.46,66.99,63,0,14.99,US,1592332280
Mugur-Aksy,50.35,90.5,48.58,78,75,0.43,RU,1592332287
Kapaa,22.08,-159.32,75.2,88,90,17.22,US,1592332287
Bonavista,48.65,-53.11,58.93,51,100,9.93,CA,1592332287
Hithadhoo,-0.6,73.08,84.31,77,0,8.99,MV,1592332288
Salalah,17.02,54.09,87.8,79,75,8.05,OM,1592332288
El Puerto de Santa María,36.59,-6.23,75.2,83,20,19.46,ES,1592332288
Marratxí,39.64,2.75,75.2,73,3,5.82,ES,1592332288
Jamestown,42.1,-79.24,73.4,35,1,4.7,US,1592332288
Banyo,6.75,11.82,68.25,88,100,2.01,CM,1592332289
Isla,15.89,120.3,78.67,84,1,5.53,PH,1592332289
Tiksi,71.69,128.87,49.66,63,11,9.17,RU,1592332289
Port,-7.03,29.76,71.26,51,0,7.87,CD,1592332289
Rikitea,-23.12,-134.97,75.38,81,100,14.16,PF,1592332289
Lagoa,39.05,-27.98,65.05,82,4,12.26,PT,1592332290
Hesla,24.07,85.88,78.69,90,100,7.14,IN,1592332290
Ekhabi,53.51,142.97,37.49,95,92,5.19,RU,1592332290
Kiunga,-6.12,141.29,73.6,98,100,3.67,PG,1592332290
Arraial,-22.84,-46.65,77.0,44,40,4.7,BR,1592332290
Atuona,-9.8,-139.03,80.49,76,1,19.91,PF,1592332291
